time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1600444405.2088883,3,False,False,24.625,1600444403.449072,25.312,1600444404.3290486,24.937,1600444405.2088814,2.6762564182281494
1600444408.2489212,3,False,False,24.687,1600444406.4089391,25.312,1600444407.3688903,24.937,1600444408.2489147,2.715909957885742
1600444411.2089148,3,False,False,24.625,1600444409.4489288,25.312,1600444410.3288925,24.937,1600444411.2089088,2.6755642890930176
1600444414.168908,3,False,False,24.625,1600444412.4089231,25.312,1600444413.288917,24.937,1600444414.1689017,2.63517165184021
1600444417.2088945,3,False,False,24.625,1600444415.4489086,25.312,1600444416.3288994,24.937,1600444417.208888,2.6747384071350098
1600444420.1688812,3,False,False,24.625,1600444418.4089208,25.312,1600444419.2888944,24.937,1600444420.168875,2.6343352794647217
1600444423.2089083,3,False,False,24.625,1600444421.4489343,25.312,1600444422.3288827,24.875,1600444423.2089021,2.673938512802124
1600444426.1689217,3,False,False,24.625,1600444424.4089127,25.312,1600444425.2888808,24.937,1600444426.1689155,2.633572578430176
1600444429.2082953,3,False,True,24.625,1600444427.4489186,25.312,1600444428.3289127,24.937,1600444429.2082927,2.6724588871002197
1600444432.168878,3,False,True,24.625,1600444430.4089162,25.312,1600444431.288903,24.937,1600444432.1688716,2.6327273845672607
1600444435.2088964,3,False,True,24.625,1600444433.448925,25.25,1600444434.3289056,24.937,1600444435.2088904,2.672311544418335
1600444438.1689289,3,False,True,24.625,1600444436.408918,25.25,1600444437.288686,24.937,1600444438.1689224,2.631956100463867
1600444441.208904,3,False,True,24.625,1600444439.4489155,25.25,1600444440.3288898,24.937,1600444441.208898,2.6715028285980225
1600444444.1689029,3,False,True,24.625,1600444442.4089155,25.187,1600444443.2889113,24.937,1600444444.1688964,2.631110668182373
1600444447.20888,3,False,True,24.625,1600444445.4488952,25.187,1600444446.32891,24.937,1600444447.208873,2.6706624031066895
1600444450.16886,3,False,True,24.625,1600444448.4089198,25.187,1600444449.288913,24.937,1600444450.1688535,2.6302549839019775
1600444453.2089088,3,False,True,24.625,1600444451.4489195,25.187,1600444452.3288884,24.937,1600444453.2089021,2.6698741912841797
1600444456.168923,3,False,True,24.625,1600444454.4089177,25.187,1600444455.2888894,24.937,1600444456.1689165,2.629497528076172
1600444459.2088974,3,False,True,24.562,1600444457.448918,25.187,1600444458.328911,24.937,1600444459.2088912,2.669039726257324
1600444462.1689286,3,False,True,24.625,1600444460.408911,25.125,1600444461.288902,24.937,1600444462.1689227,2.628676414489746
1600444465.2088904,3,False,True,24.625,1600444463.448928,25.125,1600444464.328892,25.0,1600444465.208884,2.6682140827178955
1600444468.1689255,3,False,True,24.625,1600444466.408924,25.125,1600444467.2888882,25.0,1600444468.1689184,2.627857208251953
1600444471.208917,3,False,True,24.625,1600444469.4489322,25.187,1600444470.328904,25.0,1600444471.208911,2.6674187183380127
1600444474.1689005,3,False,True,24.562,1600444472.408928,25.125,1600444473.2887015,25.0,1600444474.1688945,2.627007484436035
1600444477.208883,3,False,True,24.562,1600444475.4489086,25.125,1600444476.3289137,25.0,1600444477.2088768,2.666553258895874
1600444480.1689024,3,False,True,24.625,1600444478.4089417,25.125,1600444479.2888994,25.0,1600444480.1688957,2.6261775493621826
1600444483.208922,3,True,True,24.625,1600444481.4489303,25.125,1600444482.3289437,25.0,1600444483.2089157,2.665757179260254
1600444486.1689043,3,True,True,24.562,1600444484.4089167,25.187,1600444485.2888923,25.0,1600444486.168898,2.6253442764282227
1600444489.2884386,3,True,True,24.625,1600444487.448913,25.25,1600444488.40849,25.062,1600444489.2884333,2.744410514831543
1600444492.1688793,3,True,True,24.625,1600444490.4089148,25.375,1600444491.2889044,25.125,1600444492.1688733,2.6245839595794678
1600444495.2088928,3,True,True,24.562,1600444493.448943,25.562,1600444494.3288982,25.25,1600444495.2088866,2.664166212081909
1600444498.1689403,3,True,True,24.625,1600444496.408927,25.812,1600444497.2888944,25.312,1600444498.1689334,2.6238205432891846
1600444501.2087665,3,True,True,24.625,1600444499.4489088,26.125,1600444500.3288937,25.5,1600444501.2087603,2.6632065773010254
1600444504.1689017,3,True,True,24.625,1600444502.4089198,26.437,1600444503.2889044,25.75,1600444504.1688952,2.6229403018951416
1600444507.208887,3,True,True,24.562,1600444505.4489038,26.812,1600444506.3288977,26.0,1600444507.208881,2.662492036819458
1600444510.16889,3,True,True,24.625,1600444508.4089353,27.25,1600444509.2888985,26.25,1600444510.168884,2.6220972537994385
1600444513.208916,3,True,True,24.562,1600444511.4489248,27.687,1600444512.3289149,26.562,1600444513.2089093,2.6616883277893066
1600444516.1689224,3,True,True,24.625,1600444514.4089205,28.187,1600444515.2889318,26.875,1600444516.168916,2.621304512023926
1600444519.2086895,3,True,True,24.562,1600444517.4489133,28.75,1600444518.3289213,27.25,1600444519.2086837,2.6606030464172363
1600444522.1688805,3,True,True,24.562,1600444520.4089155,29.312,1600444521.2889075,27.625,1600444522.1688743,2.62041974067688
1600444525.2088814,3,True,True,24.562,1600444523.4489312,29.875,1600444524.3289044,28.0,1600444525.2088752,2.6599783897399902
1600444528.1689277,3,True,True,24.625,1600444526.4089348,30.437,1600444527.2889018,28.5,1600444528.1689208,2.6196255683898926
1600444531.2089136,3,True,True,24.562,1600444529.4484875,31.062,1600444530.328887,28.875,1600444531.2089076,2.6591646671295166
1600444534.1689029,3,True,True,24.562,1600444532.4089122,31.75,1600444533.2889318,29.312,1600444534.1688962,2.6187491416931152
1600444537.2088993,3,True,True,24.625,1600444535.4489064,32.312,1600444536.328905,29.812,1600444537.2088933,2.6583001613616943
1600444540.1688988,3,True,True,24.562,1600444538.4089377,32.937,1600444539.288901,30.25,1600444540.1688921,2.6179001331329346
1600444543.2089248,3,True,True,24.562,1600444541.4489317,33.625,1600444542.3288977,30.75,1600444543.2089188,2.6574807167053223
1600444546.1689067,3,True,True,24.562,1600444544.4089272,34.312,1600444545.2888865,31.25,1600444546.1689,2.6170601844787598
1600444549.2089076,3,True,True,24.562,1600444547.448926,34.875,1600444548.3289275,31.812,1600444549.2089012,2.6566200256347656
1600444552.1689506,3,True,True,24.562,1600444550.4089525,35.562,1600444551.2893991,32.312,1600444552.1689441,2.6162357330322266
1600444555.2089431,3,True,True,24.562,1600444553.448961,35.562,1600444554.328951,32.812,1600444555.2089367,2.65576434135437
1600444558.1691732,3,True,True,24.562,1600444556.4089646,36.875,1600444557.288928,33.375,1600444558.1691666,2.6155807971954346
1600444561.2090514,3,True,True,24.562,1600444559.4489553,37.562,1600444560.328935,33.937,1600444561.2090445,2.6550040245056152
1600444564.1689398,3,True,True,24.562,1600444562.4089477,38.187,1600444563.2889547,34.5,1600444564.1689336,2.6144847869873047
1600444567.208919,3,True,True,24.562,1600444565.4489305,38.812,1600444566.3289657,34.5,1600444567.2089126,2.65401291847229
1600444570.168917,3,True,True,24.562,1600444568.4089584,39.375,1600444569.28895,35.562,1600444570.1689107,2.6135973930358887
1600444573.2089615,3,True,True,24.625,1600444571.4489598,40.125,1600444572.3289595,36.187,1600444573.2089546,2.6531968116760254
1600444576.1689618,3,True,True,24.562,1600444574.4089508,40.75,1600444575.288935,36.75,1600444576.1689548,2.6127877235412598
1600444579.2090516,3,True,True,24.562,1600444577.4489508,41.437,1600444578.328955,37.25,1600444579.2090447,2.6524195671081543
1600444582.168919,3,True,True,24.562,1600444580.4096751,42.062,1600444581.2889702,37.812,1600444582.168913,2.611829996109009
1600444585.2089038,3,True,True,24.562,1600444583.4489634,42.687,1600444584.3289242,38.375,1600444585.2088976,2.651360511779785
1600444588.1689365,3,True,True,24.562,1600444586.408946,43.312,1600444587.289044,38.937,1600444588.1689296,2.6109812259674072
1600444591.20896,3,True,True,24.562,1600444589.4489307,44.0,1600444590.328894,39.5,1600444591.2089531,2.6505541801452637
1600444594.1689172,3,True,True,24.562,1600444592.4090235,44.625,1600444593.2889497,40.062,1600444594.1689107,2.6100943088531494
1600444597.2088938,3,True,True,24.562,1600444595.4489138,45.25,1600444596.328913,40.625,1600444597.2088878,2.6496148109436035
1600444600.1688921,3,True,True,24.562,1600444598.4089396,45.812,1600444599.2889073,41.125,1600444600.168885,2.609194278717041
1600444603.2089176,3,True,True,24.562,1600444601.448928,46.5,1600444602.3289,41.75,1600444603.2089112,2.6487700939178467
1600444606.1689272,3,True,True,24.562,1600444604.4089296,47.062,1600444605.2889075,42.25,1600444606.1689205,2.6083672046661377
1600444609.2089055,3,True,True,24.562,1600444607.4489229,47.687,1600444608.328913,42.875,1600444609.208899,2.647887706756592
1600444612.1689053,3,True,True,24.562,1600444610.408331,48.25,1600444611.2887204,43.437,1600444612.1688988,2.6074819564819336
1600444615.2088811,3,True,True,24.562,1600444613.4490678,48.875,1600444614.3289,44.0,1600444615.208875,2.6470038890838623
1600444618.1689312,3,True,True,24.562,1600444616.4089444,49.437,1600444617.2888951,44.562,1600444618.1689253,2.606642007827759
1600444621.2089236,3,True,True,24.562,1600444619.4489243,50.062,1600444620.3288882,45.125,1600444621.208917,2.6461825370788574
1600444624.168906,3,True,True,24.562,1600444622.4089262,50.625,1600444623.2889583,45.625,1600444624.1688988,2.6057708263397217
1600444627.208918,3,False,True,24.562,1600444625.4489152,51.25,1600444626.328911,46.125,1600444627.208912,2.6453170776367188
1600444630.1689174,3,False,True,24.562,1600444628.4089584,51.75,1600444629.288902,46.687,1600444630.1689107,2.604900598526001
1600444633.2089357,3,False,True,24.562,1600444631.44895,52.25,1600444632.328925,47.187,1600444633.2089288,2.6444637775421143
1600444636.1689553,3,False,True,24.562,1600444634.408926,52.687,1600444635.2888932,47.687,1600444636.168949,2.6040637493133545
1600444639.2089155,3,False,True,24.562,1600444637.4489243,53.125,1600444638.3289685,48.187,1600444639.2089086,2.6435704231262207
1600444642.168902,3,False,True,24.562,1600444640.4089172,53.5,1600444641.288909,48.625,1600444642.1688955,2.603130578994751
1600444645.2089012,3,False,True,24.562,1600444643.4489307,53.812,1600444644.328924,49.0,1600444645.2088947,2.6426706314086914
1600444648.168731,3,False,True,24.562,1600444646.4089406,54.062,1600444647.2888858,49.375,1600444648.168725,2.6020395755767822
1600444651.2089472,3,False,True,24.562,1600444649.4489179,54.312,1600444650.3289223,49.687,1600444651.2089407,2.641817569732666
1600444654.1689246,3,False,True,24.562,1600444652.4087195,54.562,1600444653.2889147,50.0,1600444654.1689181,2.6013684272766113
1600444657.2089088,3,False,True,24.562,1600444655.4489076,54.75,1600444656.3289385,50.312,1600444657.2089024,2.6408865451812744
1600444660.1688888,3,False,True,24.562,1600444658.4089682,54.875,1600444659.2889187,50.562,1600444660.1688824,2.6004321575164795
1600444663.208965,3,False,True,24.562,1600444661.4489408,55.0,1600444662.3289099,50.812,1600444663.2089586,2.6400506496429443
1600444666.1689148,3,False,True,24.562,1600444664.4089568,55.062,1600444665.288911,51.0,1600444666.168908,2.599578857421875
1600444669.2089012,3,False,True,24.562,1600444667.4489322,55.125,1600444668.328946,51.187,1600444669.208895,2.639099359512329
1600444672.1689005,3,False,True,24.625,1600444670.4089005,55.187,1600444671.2883165,51.375,1600444672.168894,2.5986759662628174
1600444675.2088814,3,False,True,24.625,1600444673.4490957,55.187,1600444674.3289144,51.562,1600444675.208875,2.6381916999816895
1600444678.1688294,3,False,True,24.625,1600444676.4089415,55.187,1600444677.2889333,51.625,1600444678.1688244,2.597694158554077
1600444681.2089367,3,False,True,24.625,1600444679.4489298,55.187,1600444680.3289022,51.812,1600444681.20893,2.6373605728149414
1600444684.1688685,3,False,True,24.625,1600444682.408935,55.187,1600444683.2889223,51.875,1600444684.168862,2.5968589782714844
1600444687.2089005,3,False,True,24.625,1600444685.4488957,55.125,1600444686.3289518,52.0,1600444687.2088938,2.6364259719848633
1600444690.2489119,3,False,True,24.625,1600444688.4889479,55.062,1600444689.3688939,52.062,1600444690.248906,2.6760098934173584
1600444693.208735,3,False,True,24.625,1600444691.4489682,55.0,1600444692.3288898,52.062,1600444693.2087293,2.635423421859741
1600444696.2489333,3,False,True,24.625,1600444694.488952,54.937,1600444695.3690476,52.125,1600444696.248927,2.6752169132232666
1600444699.208939,3,False,True,24.562,1600444697.448928,54.812,1600444698.3289149,52.187,1600444699.2089326,2.6348330974578857
1600444702.2489018,3,False,True,24.625,1600444700.488895,54.75,1600444701.368952,52.187,1600444702.2488956,2.6743686199188232
1600444705.2088869,3,False,True,24.562,1600444703.4491034,54.625,1600444704.3289242,52.187,1600444705.2088802,2.633964776992798
1600444708.2487175,3,False,True,24.562,1600444706.4889855,54.562,1600444707.3689344,52.187,1600444708.2487123,2.6733508110046387
1600444711.2089355,3,False,True,24.625,1600444709.4489515,54.437,1600444710.3289046,52.125,1600444711.2089283,2.6332035064697266
1600444714.2489219,3,False,True,24.562,1600444712.4889467,54.312,1600444713.3689523,52.125,1600444714.2489154,2.672760486602783
1600444717.208888,3,False,True,24.562,1600444715.448951,54.187,1600444716.3289304,52.125,1600444717.2088816,2.632335662841797
1600444720.2489142,3,False,True,24.562,1600444718.4889557,54.062,1600444719.3689213,52.062,1600444720.2489083,2.6719274520874023
1600444723.2096226,3,False,True,24.562,1600444721.4489694,53.937,1600444722.3289063,52.062,1600444723.2096164,2.632518768310547
1600444726.2489352,3,False,True,24.562,1600444724.488927,53.812,1600444725.3688886,52.0,1600444726.2489288,2.671393394470215
1600444729.2089067,3,False,True,24.562,1600444727.448946,53.687,1600444728.3287196,51.937,1600444729.2089002,2.6309688091278076
1600444732.248971,3,False,True,24.562,1600444730.4889112,53.5,1600444731.368701,51.875,1600444732.2489645,2.670602798461914
1600444735.2088926,3,False,True,24.625,1600444733.448971,53.375,1600444734.3286924,51.75,1600444735.2088864,2.6301333904266357
1600444738.2490673,3,False,True,24.562,1600444736.488946,53.187,1600444737.368904,51.687,1600444738.2490578,2.669887065887451
